"Rut","Cliente","NumFacturas","NumVencidas","MontoVencido","DiasMoraProm","DiasMoraMax","kpi_monto","kpi_mora","kpi_venc","score_riesgo","Riesgo"
62,"BJ",25,1,185359,5,5,0.0548866431910703,0.0746268656716418,0.333333333333333,0.116498047963694,"Medio"
63,"BK",26,0,0,0,0,0,0,0,0,"Bajo"
64,"BL",25,1,92680,5,5,0.0274434696505074,0.0746268656716418,0.333333333333333,0.102776461193413,"Medio"
65,"BM",25,0,0,0,0,0,0,0,0,"Bajo"
66,"BN",25,1,114052,5,5,0.0337719313830348,0.0746268656716418,0.333333333333333,0.105940692059677,"Medio"
67,"BO",25,0,0,0,0,0,0,0,0,"Bajo"
68,"BP",24,1,755620,5,5,0.223746596216189,0.0746268656716418,0.333333333333333,0.200928024476254,"Alto"
69,"BQ",24,1,487134,5,5,0.144245221673827,0.0746268656716418,0.333333333333333,0.161177337205072,"Alto"
70,"BR",24,1,61944,5,5,0.0183422343982631,0.0746268656716418,0.333333333333333,0.0982258435672908,"Bajo"
71,"BS",24,1,123652,5,5,0.0366145868496389,0.0746268656716418,0.333333333333333,0.107362019792979,"Medio"
72,"BT",24,1,63835,5,5,0.0189021783031953,0.0746268656716418,0.333333333333333,0.0985058155197568,"Bajo"
73,"BU",25,1,47286,5,5,0.014001854832692,0.0746268656716418,0.333333333333333,0.0960556537845052,"Bajo"
74,"BV",25,1,331991,5,5,0.0983058365638928,0.0746268656716418,0.333333333333333,0.138207644650106,"Alto"
75,"BW",24,1,243142,5,5,0.0719967641105272,0.0746268656716418,0.333333333333333,0.125053108423423,"Alto"
76,"BX",24,1,99772,5,5,0.0295434813764612,0.0746268656716418,0.333333333333333,0.10382646705639,"Medio"
77,"BY",24,0,0,0,0,0,0,0,0,"Bajo"
78,"BZ",23,1,61944,5,5,0.0183422343982631,0.0746268656716418,0.333333333333333,0.0982258435672908,"Bajo"
79,"CA",23,1,85114,5,5,0.02520310181089,0.0746268656716418,0.333333333333333,0.101656277273604,"Medio"
80,"CB",24,1,1796704,5,5,0.532021921611407,0.0746268656716418,0.333333333333333,0.355065687173862,"Alto"
81,"CC",24,0,0,0,0,0,0,0,0,"Bajo"
82,"CD",22,1,87006,5,5,0.0257633418257665,0.0746268656716418,0.333333333333333,0.101936397281042,"Medio"
83,"CE",22,1,99772,5,5,0.0295434813764612,0.0746268656716418,0.333333333333333,0.10382646705639,"Medio"
84,"CF",22,1,191979,5,5,0.0568468910232494,0.0746268656716418,0.333333333333333,0.117478171879784,"Medio"
85,"CG",22,0,0,0,0,0,0,0,0,"Bajo"
86,"CH",26,1,909629,5,5,0.26935019264913,0.0746268656716418,0.333333333333333,0.223729822692724,"Alto"
87,"CI",22,0,0,0,0,0,0,0,0,"Bajo"
88,"CJ",21,1,121524,5,5,0.035984464887875,0.0746268656716418,0.333333333333333,0.107046958812097,"Medio"
89,"CK",21,1,177084,5,5,0.0524363334008464,0.0746268656716418,0.333333333333333,0.115272893068582,"Medio"
90,"CL",21,1,739591,5,5,0.219000249916793,0.0746268656716418,0.333333333333333,0.198554851326556,"Alto"
91,"CM",21,1,99772,5,5,0.0295434813764612,0.0746268656716418,0.333333333333333,0.10382646705639,"Medio"
92,"CN",21,1,163607,5,5,0.0484456596796564,0.0746268656716418,0.333333333333333,0.113277556207987,"Medio"
93,"CO",22,1,169755,5,5,0.0502661436180608,0.0746268656716418,0.333333333333333,0.11418779817719,"Medio"
94,"CP",21,1,164836,5,5,0.0488095788013706,0.0746268656716418,0.333333333333333,0.113459515768845,"Medio"
95,"CQ",20,1,351803,5,5,0.104172366783097,0.0746268656716418,0.333333333333333,0.141140909759708,"Alto"
96,"CR",20,0,0,0,0,0,0,0,0,"Bajo"
97,"CS",20,1,222714,5,5,0.0659478301655491,0.0746268656716418,0.333333333333333,0.122028641450934,"Medio"
98,"CT",20,1,26007,5,5,0.00770093132499725,0.0746268656716418,0.333333333333333,0.0929051920306578,"Bajo"
99,"CU",20,1,151313,5,5,0.0448052840227365,0.0746268656716418,0.333333333333333,0.111457368379527,"Medio"
100,"CV",21,1,99772,5,5,0.0295434813764612,0.0746268656716418,0.333333333333333,0.10382646705639,"Medio"
101,"CW",19,1,99772,5,5,0.0295434813764612,0.0746268656716418,0.333333333333333,0.10382646705639,"Medio"
102,"CX",19,3,198281,36.3333333333333,67,0.0587129758930972,0.54228855721393,1,0.392043055110728,"Alto"
103,"CY",19,1,321068,5,5,0.0950714276407973,0.0746268656716418,0.333333333333333,0.136590440188558,"Alto"
104,"CZ",19,1,293170,5,5,0.0868105524108679,0.0746268656716418,0.333333333333333,0.132460002573593,"Alto"
105,"DA",19,1,79440,5,5,0.0235229739861492,0.0746268656716418,0.333333333333333,0.100816213361234,"Bajo"
106,"DB",19,1,127860,5,5,0.0378606174958337,0.0746268656716418,0.333333333333333,0.107985035116076,"Medio"
107,"DC",19,0,0,0,0,0,0,0,0,"Bajo"
108,"DD",18,1,108284,5,5,0.0320639692235168,0.0746268656716418,0.333333333333333,0.105086710979918,"Medio"
109,"DE",19,1,141384,5,5,0.0418652083844123,0.0746268656716418,0.333333333333333,0.109987330560365,"Medio"
110,"DF",18,1,231699,5,5,0.068608378016324,0.0746268656716418,0.333333333333333,0.123358915376321,"Medio"
111,"DG",18,1,89843,5,5,0.0266034057381369,0.0746268656716418,0.333333333333333,0.102356429237228,"Medio"
112,"DH",17,1,349297,5,5,0.103430315262336,0.0746268656716418,0.333333333333333,0.140769883999327,"Alto"
113,"DI",23,0,0,0,0,0,0,0,0,"Bajo"
114,"DJ",17,1,67003,5,5,0.0198402546071746,0.0746268656716418,0.333333333333333,0.0989748536717465,"Bajo"
115,"DK",17,1,156042,5,5,0.0462055879499835,0.0746268656716418,0.333333333333333,0.112157520343151,"Medio"
116,"DL",21,1,138073,5,5,0.0408847883583783,0.0746268656716418,0.333333333333333,0.109497120547348,"Medio"
117,"DM",17,1,92680,5,5,0.0274434696505074,0.0746268656716418,0.333333333333333,0.102776461193413,"Medio"
118,"DN",17,1,108284,5,5,0.0320639692235168,0.0746268656716418,0.333333333333333,0.105086710979918,"Medio"
119,"DO",17,1,61471,5,5,0.018202174394544,0.0746268656716418,0.333333333333333,0.0981558135654312,"Bajo"
120,"DP",20,1,306977,5,5,0.0908989424137224,0.0746268656716418,0.333333333333333,0.13450419757502,"Alto"
121,"DQ",17,1,322959,5,5,0.0956313715457294,0.0746268656716418,0.333333333333333,0.136870412141024,"Alto"
122,"DR",16,1,465950,5,5,0.137972428610853,0.0746268656716418,0.333333333333333,0.158040940673586,"Alto"
123,"DS",16,1,134764,5,5,0.0399049605522332,0.0746268656716418,0.333333333333333,0.109007206644276,"Medio"
124,"DT",16,0,0,0,0,0,0,0,0,"Bajo"
125,"DU",16,1,108284,5,5,0.0320639692235168,0.0746268656716418,0.333333333333333,0.105086710979918,"Medio"
126,"DV",16,0,0,0,0,0,0,0,0,"Bajo"
127,"DW",16,1,397292,5,5,0.117642112045634,0.0746268656716418,0.333333333333333,0.147875782390976,"Alto"
128,"DX",23,1,281821,5,5,0.0834500006514419,0.0746268656716418,0.333333333333333,0.13077972669388,"Alto"
129,"DY",16,1,67618,5,5,0.020022362223004,0.0746268656716418,0.333333333333333,0.0990659074796612,"Bajo"
130,"DZ",15,2,134136,21,37,0.0397190035071262,0.313432835820896,0.666666666666667,0.247222685833165,"Alto"
131,"EA",15,1,24115,5,5,0.00714069131012068,0.0746268656716418,0.333333333333333,0.0926250720232195,"Bajo"
132,"EB",16,1,49177,5,5,0.0145617987376241,0.0746268656716418,0.333333333333333,0.0963356257369712,"Bajo"
133,"EC",15,2,183256,21,37,0.0542639239779173,0.313432835820896,0.666666666666667,0.254495146068561,"Alto"
134,"ED",15,1,87006,5,5,0.0257633418257665,0.0746268656716418,0.333333333333333,0.101936397281042,"Medio"
135,"EE",14,1,108284,5,5,0.0320639692235168,0.0746268656716418,0.333333333333333,0.105086710979918,"Medio"
136,"EF",15,2,69958,8,11,0.0207152594929887,0.119402985074627,0.666666666666667,0.179511858602216,"Alto"
137,"EG",14,1,75184,5,5,0.0222627300626213,0.0746268656716418,0.333333333333333,0.10018609139947,"Bajo"
138,"EH",15,1,47286,5,5,0.014001854832692,0.0746268656716418,0.333333333333333,0.0960556537845052,"Bajo"
139,"EI",14,0,0,0,0,0,0,0,0,"Bajo"
140,"EJ",14,1,94098,5,5,0.0278633535517203,0.0746268656716418,0.333333333333333,0.102986403144019,"Medio"
141,"EK",14,1,113486,5,5,0.0336043331544829,0.0746268656716418,0.333333333333333,0.105856892945401,"Medio"
142,"EL",13,1,750419,5,5,0.222206528395167,0.0746268656716418,0.333333333333333,0.200157990565743,"Alto"
143,"EM",13,1,221768,5,5,0.0656677101581109,0.0746268656716418,0.333333333333333,0.121888581447215,"Medio"
144,"EN",13,1,653957,5,5,0.193643170934795,0.0746268656716418,0.333333333333333,0.185876311835557,"Alto"
145,"EO",13,2,202146,21,37,0.0598574408283498,0.313432835820896,0.666666666666667,0.257291904493777,"Alto"
146,"EP",13,0,0,0,0,0,0,0,0,"Bajo"
147,"EQ",12,1,185359,5,5,0.0548866431910703,0.0746268656716418,0.333333333333333,0.116498047963694,"Medio"
148,"ER",13,2,446156,21,37,0.132111228370649,0.313432835820896,0.666666666666667,0.293418798264927,"Alto"
149,"ES",12,1,104027,5,5,0.0308034291900445,0.0746268656716418,0.333333333333333,0.104456440963181,"Medio"
150,"ET",12,0,0,0,0,0,0,0,0,"Bajo"
151,"EU",12,1,131690,5,5,0.038994718583031,0.0746268656716418,0.333333333333333,0.108552085659675,"Medio"
152,"EV",12,1,49649,5,5,0.0147015626313988,0.0746268656716418,0.333333333333333,0.0964055076838586,"Bajo"
153,"EW",12,2,1388582,21,37,0.41117293886751,0.313432835820896,0.666666666666667,0.432949653513357,"Alto"
154,"EX",12,1,272364,5,5,0.0806496889068924,0.0746268656716418,0.333333333333333,0.129379570821605,"Alto"
155,"EY",12,1,258179,5,5,0.0764493693450403,0.0746268656716418,0.333333333333333,0.127279411040679,"Alto"
156,"EZ",12,1,121050,5,5,0.0358441087742114,0.0746268656716418,0.333333333333333,0.106976780755265,"Medio"
157,"FA",12,1,119159,5,5,0.0352841648692793,0.0746268656716418,0.333333333333333,0.106696808802799,"Medio"
158,"FB",11,1,125495,5,5,0.037160317477238,0.0746268656716418,0.333333333333333,0.107634885106778,"Medio"
159,"FC",11,1,150178,5,5,0.0444691992357995,0.0746268656716418,0.333333333333333,0.111289325986059,"Medio"
160,"FD",10,0,0,0,0,0,0,0,0,"Bajo"
161,"FE",10,0,0,0,0,0,0,0,0,"Bajo"
162,"FF",11,1,3377124,5,5,1,0.0746268656716418,0.333333333333333,0.589054726368159,"Alto"
163,"FG",10,1,111121,5,5,0.0329040331358872,0.0746268656716418,0.333333333333333,0.105506742936103,"Medio"
164,"FH",10,0,0,0,0,0,0,0,0,"Bajo"
165,"FI",10,1,371191,5,5,0.10991334638586,0.0746268656716418,0.333333333333333,0.144011399561089,"Alto"
166,"FJ",10,1,241818,5,5,0.0716047145440914,0.0746268656716418,0.333333333333333,0.124857083640205,"Alto"
167,"FK",10,2,799387,21,37,0.236706440154404,0.313432835820896,0.666666666666667,0.345716404156804,"Alto"
168,"FL",10,3,602672,36.3333333333333,67,0.178457172434296,0.54228855721393,1,0.451915153381327,"Alto"
169,"FM",10,2,718137,21,37,0.212647507168822,0.313432835820896,0.666666666666667,0.333686937664013,"Alto"
170,"FN",10,2,555920,21,37,0.164613440311934,0.313432835820896,0.666666666666667,0.309669904235569,"Alto"
171,"FO",12,1,174483,5,5,0.0516661514353633,0.0746268656716418,0.333333333333333,0.114887802085841,"Medio"
172,"FP",10,1,506900,5,5,0.150098130835587,0.0746268656716418,0.333333333333333,0.164103791785953,"Alto"
173,"FQ",10,1,98354,5,5,0.0291235974752482,0.0746268656716418,0.333333333333333,0.103616525105783,"Medio"
174,"FR",10,1,130082,5,5,0.0385185737923748,0.0746268656716418,0.333333333333333,0.108314013264347,"Medio"
175,"FS",10,2,304354,21,37,0.0901222460294618,0.313432835820896,0.666666666666667,0.272424307094333,"Alto"
176,"FT",10,1,109418,5,5,0.0323997579005094,0.0746268656716418,0.333333333333333,0.105254605318414,"Medio"
177,"FU",21,1,337145,5,5,0.0998319872175259,0.0746268656716418,0.333333333333333,0.138970719976922,"Alto"
178,"FV",9,1,195762,5,5,0.0579670749430581,0.0746268656716418,0.333333333333333,0.118038263839688,"Medio"
179,"FW",9,1,688002,5,5,0.203724233993185,0.0746268656716418,0.333333333333333,0.190916843364752,"Alto"
180,"FX",9,1,94570,5,5,0.028003117445495,0.0746268656716418,0.333333333333333,0.103056285090907,"Medio"
181,"FY",9,1,185359,5,5,0.0548866431910703,0.0746268656716418,0.333333333333333,0.116498047963694,"Medio"
182,"FZ",8,0,0,0,0,0,0,0,0,"Bajo"
184,"GB",8,0,0,0,0,0,0,0,0,"Bajo"
185,"GC",8,2,1532682,21,37,0.453842381861015,0.313432835820896,0.666666666666667,0.45428437501011,"Alto"
186,"GD",8,2,530872,21,37,0.157196478423653,0.313432835820896,0.666666666666667,0.305961423291428,"Alto"
187,"GE",8,1,260542,5,5,0.0771490771437472,0.0746268656716418,0.333333333333333,0.127629264940033,"Alto"
188,"GF",8,2,207814,21,37,0.061535791993424,0.313432835820896,0.666666666666667,0.258131080076314,"Alto"
189,"GG",8,1,172119,5,5,0.0509661475267121,0.0746268656716418,0.333333333333333,0.114537800131515,"Medio"
190,"GH",8,1,219451,5,5,0.0649816234168482,0.0746268656716418,0.333333333333333,0.121545538076583,"Medio"
191,"GI",8,0,0,0,0,0,0,0,0,"Bajo"
192,"GJ",7,2,754746,21,37,0.22348779612475,0.313432835820896,0.666666666666667,0.339107082141977,"Alto"
193,"GK",7,1,279457,5,5,0.0827499967427906,0.0746268656716418,0.333333333333333,0.130429724739554,"Alto"
194,"GL",6,1,100718,5,5,0.0298236013838994,0.0746268656716418,0.333333333333333,0.103966527060109,"Medio"
195,"GM",6,1,497443,5,5,0.147297819091037,0.0746268656716418,0.333333333333333,0.162703635913678,"Alto"
196,"GN",6,1,1803228,5,5,0.53395374288892,0.0746268656716418,0.333333333333333,0.356031597812619,"Alto"
197,"GO",6,1,133818,5,5,0.0396248405447949,0.0746268656716418,0.333333333333333,0.108867146640557,"Medio"
198,"GP",6,1,466234,5,5,0.138056523835074,0.0746268656716418,0.333333333333333,0.158082988285696,"Alto"
199,"GQ",6,0,0,0,0,0,0,0,0,"Bajo"
202,"GT",8,2,213017,21,37,0.0630764520343345,0.313432835820896,0.666666666666667,0.258901410096769,"Alto"
203,"GU",6,1,1215708,5,5,0.359983228332747,0.0746268656716418,0.333333333333333,0.269046340534533,"Alto"
204,"GV",6,1,110223,5,5,0.032638126405782,0.0746268656716418,0.333333333333333,0.10537378957105,"Medio"
205,"GW",5,0,0,0,0,0,0,0,0,"Bajo"
206,"GX",5,0,0,0,0,0,0,0,0,"Bajo"
207,"GY",5,0,0,0,0,0,0,0,0,"Bajo"
208,"GZ",4,1,93784,67,67,0.0277703750291668,1,0.333333333333333,0.38055185418125,"Alto"
209,"HA",5,2,410908,21,37,0.121673945049101,0.313432835820896,0.666666666666667,0.288200156604152,"Alto"
210,"HB",4,0,0,0,0,0,0,0,0,"Bajo"
211,"HC",2,0,0,0,0,0,0,0,0,"Bajo"
212,"HD",4,1,104027,5,5,0.0308034291900445,0.0746268656716418,0.333333333333333,0.104456440963181,"Medio"
214,"HF",4,1,792409,5,5,0.234640184962116,0.0746268656716418,0.333333333333333,0.206374818849217,"Alto"
215,"HG",3,0,0,0,0,0,0,0,0,"Bajo"
216,"HH",4,0,0,0,0,0,0,0,0,"Bajo"
217,"HI",4,2,1010017,5,5,0.299076077751365,0.0746268656716418,0.666666666666667,0.305259431910508,"Alto"
218,"HJ",3,0,0,0,0,0,0,0,0,"Bajo"
219,"HK",3,1,53906,5,5,0.0159621026648711,0.0746268656716418,0.333333333333333,0.0970357777005947,"Bajo"
220,"HL",3,3,311494,36.3333333333333,67,0.0922364710327486,0.54228855721393,1,0.408804802680553,"Alto"
221,"HM",3,3,631484,36.3333333333333,67,0.186988692153442,0.54228855721393,1,0.4561809132409,"Alto"
222,"HN",3,2,126566,21,37,0.0374774512277311,0.313432835820896,0.666666666666667,0.246101909693468,"Alto"
223,"HO",3,1,94098,5,5,0.0278633535517203,0.0746268656716418,0.333333333333333,0.102986403144019,"Medio"
224,"HP",2,1,235954,5,5,0.0698683258299073,0.0746268656716418,0.333333333333333,0.123988889283113,"Alto"
225,"HQ",2,2,150338,21,37,0.0445165768269095,0.313432835820896,0.666666666666667,0.249621472493057,"Alto"
226,"HR",2,2,98956,21,37,0.0293018556617998,0.313432835820896,0.666666666666667,0.242014111910502,"Alto"
227,"HS",3,1,82277,5,5,0.0243630378985196,0.0746268656716418,0.333333333333333,0.101236245317419,"Bajo"
228,"HT",2,1,255814,5,5,0.0757490693264446,0.0746268656716418,0.333333333333333,0.126929261031382,"Alto"
229,"HU",2,1,954574,5,5,0.282658854101893,0.0746268656716418,0.333333333333333,0.230384153419106,"Alto"
230,"HV",1,1,313030,5,5,0.0926912959074052,0.0746268656716418,0.333333333333333,0.135400374321862,"Alto"
231,"HW",2,1,80101,5,5,0.0237187026594226,0.0746268656716418,0.333333333333333,0.100914077697871,"Bajo"
232,"HX",1,1,100103,5,5,0.0296414937680701,0.0746268656716418,0.333333333333333,0.103875473252194,"Medio"
233,"HY",1,1,233590,5,5,0.0691683219212561,0.0746268656716418,0.333333333333333,0.123638887328787,"Medio"
234,"HZ",1,1,179638,5,5,0.0531925981989409,0.0746268656716418,0.333333333333333,0.11565102546763,"Medio"
235,"IA",1,1,457581,5,5,0.135494284485852,0.0746268656716418,0.333333333333333,0.156801868611085,"Alto"
236,"IB",1,1,57594,5,5,0.0170541561399581,0.0746268656716418,0.333333333333333,0.0975818044381383,"Bajo"
237,"IC",1,1,267777,5,5,0.0792914325917556,0.0746268656716418,0.333333333333333,0.128700442664037,"Alto"
238,"ID",1,1,107338,5,5,0.0317838492160785,0.0746268656716418,0.333333333333333,0.104946650976198,"Medio"
